  0.0000000e+000  1.7494272e+001  1.7041740e+001
  2.1185631e+000  1.7645963e+001  1.7174853e+001
  3.0563003e+000  1.7695080e+001  1.7242391e+001
  4.1558498e+000  1.7732900e+001  1.7327343e+001
  4.9290829e+000  1.7746534e+001  1.7388672e+001
  6.0906290e+000  1.7749599e+001  1.7477453e+001
  6.5663492e+000  1.7746036e+001  1.7510757e+001
  7.9306073e+000  1.7725596e+001  1.7589360e+001
  8.6742621e+000  1.7710415e+001  1.7619055e+001
  9.8284559e+000  1.7683664e+001  1.7645332e+001
  1.1203735e+001  1.7647367e+001  1.7648968e+001
  1.2165922e+001  1.7618447e+001  1.7638595e+001
  1.2720582e+001  1.7600256e+001  1.7629480e+001
  1.4200998e+001  1.7546716e+001  1.7598620e+001
  1.5069601e+001  1.7513097e+001  1.7577665e+001
  1.6017687e+001  1.7476265e+001  1.7552596e+001
  1.7393532e+001  1.7425978e+001  1.7511118e+001
  1.8336865e+001  1.7395674e+001  1.7478765e+001
  1.8953394e+001  1.7378276e+001  1.7456089e+001
  2.0204272e+001  1.7349652e+001  1.7407836e+001
  2.1146846e+001  1.7334478e+001  1.7371330e+001
  2.2475952e+001  1.7323111e+001  1.7323170e+001
  2.2875707e+001  1.7322089e+001  1.7309971e+001
  2.3745909e+001  1.7323802e+001  1.7283902e+001
  2.5023494e+001  1.7336060e+001  1.7253206e+001
  2.6324873e+001  1.7359584e+001  1.7232261e+001
  2.6576261e+001  1.7365235e+001  1.7229491e+001
  2.8480741e+001  1.7415817e+001  1.7222705e+001
  2.8906304e+001  1.7428113e+001  1.7224710e+001
  2.9707013e+001  1.7451071e+001  1.7231967e+001
  3.1438150e+001  1.7495366e+001  1.7262091e+001
  3.1653676e+001  1.7500036e+001  1.7267037e+001
  3.2637475e+001  1.7518348e+001  1.7292111e+001
  3.4128306e+001  1.7536316e+001  1.7334533e+001
  3.4524716e+001  1.7539208e+001  1.7345909e+001
  3.6243403e+001  1.7544005e+001  1.7390957e+001
  3.6740714e+001  1.7543309e+001  1.7401857e+001
  3.7518210e+001  1.7540423e+001  1.7416400e+001
  3.8664095e+001  1.7531739e+001  1.7431960e+001
  3.9978853e+001  1.7513589e+001  1.7441643e+001
  4.1008864e+001  1.7491629e+001  1.7444024e+001
  4.1918856e+001  1.7465728e+001  1.7442844e+001
  4.3077126e+001  1.7423706e+001  1.7436903e+001
  4.3669317e+001  1.7398535e+001  1.7431686e+001
  4.4886169e+001  1.7340226e+001  1.7415208e+001
  4.5854843e+001  1.7289011e+001  1.7395395e+001
  4.6799951e+001  1.7236590e+001  1.7369471e+001
  4.7601798e+001  1.7191329e+001  1.7342152e+001
  4.8781567e+001  1.7125286e+001  1.7293507e+001
  5.0000000e+001  1.7060000e+001  1.7234391e+001
